query_idx,K,jaccard,intersection
59,20,0.21212121212121213,7
59,50,0.14942528735632185,13
59,100,0.13636363636363635,24
60,5,0.42857142857142855,3
60,10,0.42857142857142855,6
60,20,0.5384615384615384,14
60,50,0.42857142857142855,30
60,100,0.20481927710843373,34
61,5,0.1111111111111111,1
61,10,0.1111111111111111,2
61,20,0.05263157894736842,2
61,50,0.07526881720430108,7
61,100,0.041666666666666664,8
62,5,0.6666666666666666,4
62,10,0.42857142857142855,6
62,20,0.3333333333333333,10
62,50,0.4925373134328358,33
62,100,0.47058823529411764,64
63,5,0.1111111111111111,1
63,10,0.25,4
63,20,0.2903225806451613,9
63,50,0.20481927710843373,17
63,100,0.1834319526627219,31
64,5,0.1111111111111111,1
64,10,0.3333333333333333,5
64,20,0.25,8
64,50,0.16279069767441862,14
64,100,0.0989010989010989,18
65,5,0.25,2
65,10,0.17647058823529413,3
65,20,0.2903225806451613,9
65,50,0.21951219512195122,18
65,100,0.14285714285714285,25
66,5,0.25,2
66,10,0.3333333333333333,5
66,20,0.6,15
66,50,0.4492753623188406,31
66,100,0.19760479041916168,33
67,5,0.42857142857142855,3
67,10,0.42857142857142855,6
67,20,0.42857142857142855,12
67,50,0.4084507042253521,29
67,100,0.2578616352201258,41
68,5,0.42857142857142855,3
68,10,0.5384615384615384,7
68,20,0.48148148148148145,13
68,50,0.4492753623188406,31
68,100,0.25,40
69,5,0.25,2
69,10,0.8181818181818182,9
69,20,0.6666666666666666,16
69,50,0.3333333333333333,25
69,100,0.15606936416184972,27
70,5,0.25,2
70,10,0.25,4
70,20,0.25,8
70,50,0.4492753623188406,31
70,100,0.21951219512195122,36
71,5,0.25,2
71,10,0.42857142857142855,6
71,20,0.42857142857142855,12
71,50,0.4925373134328358,33
71,100,0.22699386503067484,37
72,5,0.42857142857142855,3
72,10,0.3333333333333333,5
72,20,0.3333333333333333,10
72,50,0.4492753623188406,31
72,100,0.2345679012345679,38
73,5,0.25,2
73,10,0.3333333333333333,5
73,20,0.48148148148148145,13
73,50,0.2987012987012987,23
73,100,0.1834319526627219,31
74,5,0.42857142857142855,3
74,10,0.17647058823529413,3
74,20,0.17647058823529413,6
74,50,0.42857142857142855,30
74,100,0.5151515151515151,68
75,5,0.1111111111111111,1
75,10,0.3333333333333333,5
75,20,0.3333333333333333,10
75,50,0.5151515151515151,34
75,100,0.5503875968992248,71
76,5,0.1111111111111111,1
76,10,0.17647058823529413,3
76,20,0.48148148148148145,13
76,50,0.3888888888888889,28
76,100,0.35135135135135137,52
