query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,pointbiserial_r,pointbiserial_p
139,4000,-0.21715657522726334,6.694927693201936e-44,-0.3872358068003937,2.953235592126188e-143,-0.17603921413232276,1.0436570208900166e-43,0.14832533370981807,4.0934399888490604e-21
140,4000,-0.1886698740338334,2.2690982233304633e-33,-0.4286764515068505,1.54378803766562e-178,-0.15308638484102263,2.2482761957530656e-33,0.11795955268495849,7.196936628682244e-14
141,4000,-0.16409707201313348,1.5275440531022064e-25,-0.3541125602754801,1.7080308679233007e-118,-0.13275268575480362,1.6362112784327765e-25,0.16166722274449385,7.875539268877363e-25
142,4000,-0.162301089730598,5.146712787766047e-25,-0.39046787712646547,7.866182097259513e-146,-0.13248102871696943,7.880332727449577e-25,0.2590854125849938,2.3062411978123135e-62
143,4000,-0.11235304914217349,1.0319087044227338e-12,-0.26809848016890514,8.221721318838581e-67,-0.09152764467960597,1.047202937924341e-12,0.26989837130983707,1.0135257357932565e-67
144,4000,-0.10246001371535865,8.291516535952951e-11,-0.41595795370856337,3.571681605403593e-167,-0.08341023919906973,8.004379598001443e-11,0.2179747822681548,3.159984122835064e-44
145,4000,-0.1183317478665862,6.003336760789552e-14,-0.32304278043012025,8.107603256288813e-98,-0.09445899238942347,4.6955345734475637e-14,0.12333785402961134,4.955459341766471e-15
146,4000,-0.15658584528868413,2.2403698387842426e-23,-0.4329436696473632,1.840254748658676e-182,-0.12703068070831192,2.0572847103200572e-23,0.14496939217474425,3.12679005989066e-20
147,4000,-0.2854688737286061,7.023756125250618e-76,-0.37921895347656065,5.397797215287625e-137,-0.22333038321997012,1.1504294788833668e-74,0.10272246801259405,7.418602444430672e-11
148,4000,-0.10363020184412901,5.038439966473805e-11,-0.41757247039995077,1.3717978286293911e-168,-0.08384372616648016,4.728389015307382e-11,0.164331616950695,1.302135068307055e-25
149,4000,-0.252682878446982,2.616012902416215e-59,-0.4719687578855507,4.493297923508327e-221,-0.20209560580774363,1.1025083985132989e-58,0.12227107738761325,8.505281484788814e-15
150,4000,-0.15340574760512574,1.7216800737874509e-22,-0.5842239836717937,0.0,-0.12488535484558619,2.067096149079396e-22,0.16184632237468136,6.984813617198791e-25
151,4000,-0.26457030552277117,4.751354597473367e-65,-0.4183640974696635,2.756510764668225e-169,-0.21386405511844792,4.850203160292194e-64,0.13755687391392324,2.3578502317491787e-18
152,4000,-0.23548469552150522,1.5815491406794627e-51,-0.3305249848695032,1.3994743918286059e-102,-0.19049991445351236,8.645774150363577e-51,0.15968930980273688,2.9374086143052783e-24
153,4000,-0.2353304657516874,1.8454533254298183e-51,-0.5816021842138759,0.0,-0.1912434045188955,2.151844332623347e-51,0.12386134336116252,3.7950099873083e-15
