query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p
171,4000,-0.17414052404553215,1.3259522164181493e-28,-0.45351604240825616,3.4552309683593414e-202
172,4000,-0.1347469475409958,1.1430676345330193e-17,-0.36829977662385216,9.593602100146402e-129
173,4000,-0.21101759112381227,1.697070184329534e-41,-0.3981071587066489,4.950307487211471e-152
174,4000,-0.10464957019911404,3.24997174779851e-11,-0.44341173433724207,2.4967370901786817e-192
175,4000,-0.355442580516104,1.9660966947335553e-119,-0.5137142075907921,2.47724453908121e-268
176,4000,-0.14405965239221458,5.381625991982732e-20,-0.399154745678126,6.782989846217267e-153
177,4000,-0.23639653169171665,6.336512045763837e-52,-0.4264151008665727,1.7583366415752724e-176
178,4000,-0.2786743142681062,2.9675649315278017e-72,-0.4460668042081628,6.902512802902846e-195
179,4000,-0.1769697380837849,1.6819646293329245e-29,-0.4034874563561487,1.690475715156581e-156
180,4000,-0.07824569329450169,7.242597857374606e-07,-0.2660461800492824,8.771362663671709e-66
181,4000,-0.13515100186025797,9.127959831250644e-18,-0.2992984939371729,1.4077334817594689e-83
182,4000,-0.12858599097411313,3.2448141972304394e-16,-0.2247156318464525,5.786566841196221e-47
